cache_misses,cache_references,vfs_write,vfs_read,tcp_send_bytes,tcp_recv_bytes,l1_dcache_loads,l1_dcache_load_misses,l1_icache_load_misses,llc_load_misses,llc_loads,cycles,instructions,memory
928220000,1262260000,18128382035,0,0,0,4864455247,116491296,52767206,21242782,26539329,26482363508,91623817018,4927976
352110000,453550000,9458288343,0,0,0,9166300549,225996700,120169181,39854452,49760459,49835134889,171745375817,4927976
477170000,625700000,12216952750,0,0,0,9180022302,221113130,109359890,35751170,45753438,49848223130,172901366463,4927976
652830000,864760000,15369717732,0,0,0,9182964654,221050588,107576686,35844855,45678993,49848977713,172982289260,4927976
448190000,602690000,11822858778,0,0,0,9189594453,231823755,122058016,35507287,45489244,49837403656,172001825976,4927976
487430000,646070000,11822858778,0,0,0,9172081869,221476202,107153030,36147192,46798990,49847572631,172755130819,4927976
458260000,614870000,11034669752,0,0,0,9165320613,221664674,107409001,36393684,47160261,49847160948,172600514303,4927976
542970000,723240000,11428766176,0,0,0,9174674647,226874407,115689944,36111374,46938167,49844054850,172201182624,4927976
283150000,389650000,8276008005,0,0,0,9166622229,223789327,113851378,48672914,52923146,49837210390,171508552736,4927976
18850000,38460000,0,0,0,0,9175300293,219927441,102949951,43715964,49990005,49847321726,172448268696,4927976
84920000,127080000,0,5103910912,0,0,9188110195,221544615,101435056,35990480,45410561,49849815758,173041476953,4927976
81780000,124970000,0,5173018624,0,0,9192585444,229200478,117738101,35382407,45161463,49837384330,172284195064,4927976
78640000,125640000,0,5182226432,0,0,9189078258,221016697,101011979,35876009,45559564,49847077647,173123189457,4927976
76180000,127980000,0,5174116352,0,0,9177787487,221067839,106157565,37155516,46790194,49847040840,172847534326,4927976
74830000,126570000,0,5180227584,0,0,9172604272,228659345,124728425,36542443,46729119,49841343468,171944446886,4927976
78300000,125750000,0,5181063168,0,0,9188164291,223240991,114451998,36374190,45935364,49843957062,172815542182,4927976
73800000,123910000,0,5183537152,0,0,9182795210,220761472,108122891,36601583,46123336,49848024803,172977850748,4927976
75350000,124820000,0,5181751296,0,0,9175587754,223776393,114393889,33788161,44702739,49846194962,172548356861,4927976
90690000,123760000,0,5149294592,0,0,9173589504,227512883,120132323,33355743,44634586,49836925652,172067050067,4013048
76980000,125790000,0,5169807360,0,0,9158382536,221637141,108593849,34841430,46397498,49848194247,172461833949,353376
80350000,126470000,0,5176999936,0,0,9158661579,222669100,111821803,34720245,46822953,49847315554,172401146847,353376
79140000,124100000,0,5178703872,0,0,9168902044,229814313,123468923,33620450,45065812,49836162462,171795875189,353376
75380000,125410000,0,5173444608,0,0,9175963535,222190992,109823722,35081168,45513632,49845035706,172728623865,353376
77490000,125930000,0,5161172992,0,0,9165153652,220210879,104465714,35838648,45458017,49848494352,172791154603,353376
75490000,126850000,0,5173788672,0,0,9174719550,225474180,113060577,34903421,45770845,49846482816,172360008133,353376
75250000,125670000,0,5181128704,0,0,9168107103,226628089,114935049,35610208,46870618,49834631051,172075758114,353376
75750000,122710000,0,5177868288,0,0,9166729183,221635678,105483494,36728251,47303370,49848296954,172546199272,353376
76200000,124110000,0,5171937280,0,0,9159932368,220586294,106643858,45864503,51141782,49847688670,171890780719,353376
75450000,124150000,0,5183471616,0,0,9185971071,231037217,121110045,34862124,45160116,49837032983,172068143796,353376
74260000,124140000,0,5184978944,0,0,9182966718,220910787,104962629,35568216,45897451,49844840903,173007988003,353376
77310000,123460000,0,5187796992,0,0,9178539000,221147588,105439597,35174587,45975982,49846741632,172973029098,353376
99430000,121470000,0,5143789568,0,0,9177035111,227266545,116943283,36914537,46707835,49843266221,172302341745,353376
76960000,125580000,0,5170790400,0,0,9179466473,225989436,117422858,34990103,46009686,49840271033,172542081585,353376
76470000,125590000,0,5169086464,0,0,9171639202,221277528,109493002,35535250,46427526,49847516516,172843145066,353376
76000000,124410000,0,5182013440,0,0,9171433279,223007673,115958987,35661363,46612074,49848037462,172611645141,353376
76490000,124270000,0,5181980672,0,0,9185846830,230294646,126298358,36528725,46548696,49837108098,172196556498,353376
82280000,126360000,0,5162139648,0,0,9169366115,222635090,112728338,38102656,47698256,49848244934,172721442064,353376
18630000,27270000,360,1360164956,0,0,9160644415,222120256,112955437,38264068,47336974,49831288213,172604419878,353376

