cache_misses,cache_references,vfs_write,vfs_read,tcp_send_bytes,tcp_recv_bytes,l1_dcache_loads,l1_dcache_load_misses,l1_icache_load_misses,llc_load_misses,llc_loads,cycles,instructions,memory
200000,970000,0,0,0,0,17047094599,879737,1270438,90954,281201,85320449781,77869496165,1094844
530000,2000000,0,0,0,0,19950862313,427694,1255968,58014,192394,99770550090,91180762359,1094844
170000,1020000,0,0,0,0,19915749987,946814,1533480,100833,291634,99726964652,91008491974,1094844
230000,890000,0,0,0,0,19936059560,644692,1330356,72921,218437,99770560230,91108497228,1094844
230000,810000,0,0,0,0,19944838107,509373,1267267,59443,205693,99772160651,91150396231,1094844
220000,700000,0,0,0,0,19925908956,876168,1348597,80432,254509,99772037949,91055668777,1094844
170000,540000,0,0,0,0,19941382317,525614,1216562,55400,189177,99771566546,91134949634,1094844
180000,560000,0,0,0,0,19941412018,555830,1213306,61486,201556,99771172337,91132652953,1094844
170000,560000,0,0,0,0,26089564369,1439181,4639506,117726,411073,130613323902,119214599108,1094844
220000,720000,0,0,0,0,31878076456,876696,6354944,49899,266021,159411591978,145689321278,1094844
90000,450000,3,0,0,0,31587631852,1786149,6804856,115154,423585,158158556424,144342619446,1094844

