cache_misses,cache_references,vfs_write,vfs_read,tcp_send_bytes,tcp_recv_bytes,l1_dcache_loads,l1_dcache_load_misses,l1_icache_load_misses,llc_load_misses,llc_loads,cycles,instructions,memory
680000,5980000,2202,18019,2202,30064773197,16657431249,1407375530725576,262468688,36055150,78438759,45276521152,60039682839,172339996
1480000,5860000,2094,18361,2088,30064773344,17238161962,2533275484877038,635410776,48673741,103645258,61422920306,61478278005,172339996
51500000,141480000,1894105925,1643543835,416134,24990202531595,14170863435,2814750191646791,410239137,21014501,985162479468097,37374740002,48852737832,172341024
62110000,123500000,2531944245,2536920904,484774,22293408714736,18113176624,1125900718496824,389831896,34150283,81016905,55439119621,66277336111,172343080
69420000,133440000,2756620167,2560351370,559897,51340637218875,16020949904,4785074988991340,683699894,23242833,79467996,48274866357,55451114887,172343080
67810000,127480000,2794887774,2571858938,577638,48841030266209,18075120702,1407375655174737,258943688,40387327,140737573165847,48098592398,65302141671,172343080
66630000,124430000,2732595545,2518655877,527681,44197938737773,19008122649,2111063121958097,771544061,29126222,1125900001690531,61351385990,67156274131,172343080
21650000,81200000,1008180285,799146473,241067,27454611603391,12993861828,2674012644934476,259997684,23382121,59467617,34939320782,46163933882,172343080
68980000,136130000,2802336087,2591173767,573928,52667831514015,17167437884,1688850582792986,333527494,52900818,96256916,58879340429,62128993557,172343080
72550000,131040000,2846620143,2626356084,584284,39546766204087,17244845698,2251800441483633,764552198,22909466,2533274874398987,48172383054,58102209491,172344108
72230000,138960000,2882291282,2678158250,598575,33993432957324,15582084990,985162977326078,212016726,40227917,83101345,45425809099,58702263548,172344108
80600000,137210000,2910934432,2592915960,612480,23526650145595,18303848254,3659175476050415,778550577,36685988,98745255,62973801048,64478383193,172344108
67100000,126210000,2568164438,2364707392,536477,34383948960695,13861742187,1829587609580670,259926858,19339265,985162469394223,36003050908,50268826833,172344108
76910000,136600000,2941335554,2726479218,608350,6046134986925,18140148880,1125900726729336,398105983,48418480,97660727,58724028137,66271983905,172344108
60460000,118290000,2507104154,2391600543,522918,5916836911873,14651724152,4503599635899460,680974031,17929928,67527716,43910554278,50638430037,172344108
6830000,53130000,284120144,294541358,62738,7417689836833,14703593814,985162996758611,125291254,11053242,28676765,36624168495,54824675852,172345136
68590000,137520000,2995698950,2723527169,614417,20460081816846,18607864567,1688850767746740,444677013,41196177,90670360,59128974291,67989440803,172345136
73990000,133100000,2951219949,2762600763,607186,6222222921474,13076759858,3518437399991855,605657947,15432640,844424986127997,39977446586,45551708857,172345136
62800000,116880000,2547680873,2388558525,524365,16860451800760,13511803772,1266637898072701,130681739,10002037,25742351,34233650770,50353044665,172345136
5500000,54540000,268058197,253756708,62334,7031143107487,18369753657,1548113344993648,430441467,28224376,73285340,55468034657,67075463847,172345136
72880000,126520000,2799019714,2600287873,582278,15181378483603,15149012506,4081387211616223,621696024,21227433,140737555499783,47361474967,53513860978,172346164
74820000,134670000,2912168447,2697370833,604302,3559315495016,13871020650,985162979144620,157483852,13989681,34480821,34906355795,51177044739,172346164
61230000,135140000,2963835494,2726032188,613774,462699242387,19348904192,2533275675692683,581573476,41244002,98748979,61384195414,69925494235,172346164
44280000,94600000,1868750113,1878387307,380953,4945400303207,11875844498,3096224726656188,426797986,11726017,281475017781803,35197912103,41882400638,172346164
49480000,102720000,2037431361,1841377554,467046,9468288494519,14760037782,1125900548971272,159040799,13815620,36817170,37094348907,54144293969,172346164
67370000,129880000,2885521215,2674687032,639390,10684618768509,19925075899,2251800674927255,653478706,42388533,100861798,66508648390,72134039300,172346164
72100000,130390000,2936013916,2733935314,647478,333793892359,9328245304,2674011701045419,359196786,9727990,985162452828274,26192431173,33029766293,172347192
76310000,137640000,3022181284,2768677248,669218,299541481899,14516425041,703688453858223,114166708,7860873,20250062,35752648723,53558661870,172347192
12840000,28810000,513088325,540016858,108909,150815532255,18002032620,1970325780690086,410274032,30216511,73844627,55958656275,66298100137,172347192
31820000,142790000,665452,7685469,69877,549756353763,13018562986,4222124515261217,614556131,17453259,58464977,40162693031,45157364695,172347192
9020000,33830000,309576,5121381,51108,210453681635,12885646456,985162951885695,107599544,6049915,15662402,31949183324,47419710673,172347192
6950000,38650000,2596590,2368207,2783206,85899354484,16580256508,1688850812695600,277326320,23337226,54446853,49880809477,61148338370,172347192
3120000,11230000,10843,32812,11596,103079274443,16278088680,4081387433470170,783770897,23477206,82342640,50228325536,56615074683,172348220
10060000,44990000,2437842,4248709,2485800,193273569422,11996846480,1548112386471157,90743351,4825364,12129149,29317083830,43936322500,172348220
4600000,19170000,943197,931638,942396,64424516064,16693168352,985163399641456,201837365,17553025,46778042,47378740528,61665186776,172349248
9630000,33520000,125824,817598,67337,296352828864,18024766090,2674013160851361,864144398,26414324,1125899997610084,57463867176,62824029934,172349248
3870000,24290000,2018469,2024418,1946779,73014450637,10835207438,1548112040299321,101292693,5259800,703687454446284,26606743547,39298732665,172349248
7620000,26790000,100110,318386,53140,244813204871,17108099733,985163424603160,222621482,21171088,53302200,46878847755,63290374683,172349248
5600000,28780000,2498765,2345885,2812267,107374193229,17944263375,2392538169900856,843669389,32041643,1125899997018432,58131484910,62527177815,172349248
1870000,8700000,139336,209798,102459,47244651764,11250684200,2533274563808526,90502124,4644444,12746608,27525669638,40936087648,172361544
9340000,34750000,1751676,1761041,2003869,244813195160,16102201402,1125900926410945,165744148,18134295,42562414,41128591632,59411858326,172390280
3590000,16900000,966441,939797,967200,103079224100,21765133540,2814750836802887,914418520,33195689,106826722,70334690176,76157787159,172395648
9770000,33510000,109549,707784,82596,287762892091,9746396875,4362861603035752,100955194,4655022,10956169,24869713847,35865322491,172404320
4230000,25380000,2318804,2272717,2413211,73014452045,14778866015,844425932553394,136417786,11371203,29164042,37045501181,54643870986,172404320
5110000,20140000,49833,166792,38656,163208805431,20451589353,1688850895442452,703500569,36555597,96925756,70458894527,73486489150,172404320
6260000,28720000,2433982,2442132,2556170,150323875440,9657484416,5770236688730423,313974179,7702606,140737515353310,26069754295,34281538399,172409460
3220000,13790000,600061,636156,579653,64424520624,15265440443,844425973750356,135659326,9060288,25915980,37669420639,56283779166,172409460
9980000,36000000,1705411,1870996,1967029,309237722038,18389357662,1125900908868268,440667449,32555874,77313046,57263373089,66816382927,172409460
2550000,16420000,1055686,1045450,1055764,51539613271,13127353495,4222124029832843,616327133,17069094,1125899966371694,40159007840,45121622276,172409524
11640000,36020000,208753,848723,316904,304942762284,14735914946,844426027933712,105428975,6430519,17037618,36021370935,53592411361,172409524
4620000,24360000,2160487,2116082,2108140,77309418386,17709749253,844425876321157,294431173,19506584,57757582,53606795005,65720820054,172409524
7630000,26290000,107997,716714,64639,279172958880,15155174816,5348024422588766,756310877,21571039,74055086,48049584774,52074227649,172409524
4210000,27770000,3002897,2653700,3093045,73014452051,14624238382,1266638203862482,107648484,5773751,17504897,35602748794,53177846693,172409524
4610000,17090000,47621,47500,32497,167503772544,17514855280,985163359488900,277468533,22361659,58091174,49869249419,65153183851,172409524
7350000,29300000,2408253,2411594,2387441,171798712793,14876189477,4925812585168837,782256495,22397995,140737567445455,48604982409,51035826069,172409524
2550000,11290000,639866,656963,618193,51539614366,12024386980,1688849903990541,92169121,4963873,12952301,29689714721,43907760244,172409524
9220000,32490000,1089001,1175274,1715728,296352819211,15928892367,703688417842181,187638136,14217732,41792142,40962593442,59320996606,172409524
2700000,16720000,1039399,1041366,1030405,60129549091,18876324275,3799913115628627,867586666,32176182,99829519,62563620573,65996056107,172409524
8320000,26220000,129339,852268,70030,304942763093,10880026067,2814749389802961,117309661,4903878,140737500969068,27550233885,39775545107,172410552
