cache_misses,cache_references,vfs_write,vfs_read,tcp_send_bytes,tcp_recv_bytes,l1_dcache_loads,l1_dcache_load_misses,l1_icache_load_misses,llc_load_misses,llc_loads,cycles,instructions,memory
160810000,318400000,0,0,0,0,751698292,175446377,1864029,78092666,131309149,6978447716,3693524613,63599020
2158150000,2416270000,304,0,0,0,904887844,279267335,2351705,117731825,202722584,9911077481,4713275518,63599020
2741010000,3017450000,0,0,0,0,911295887,269741045,2185019,112949760,193640387,9913885661,4665745991,63599020
2935360000,3195620000,0,0,0,0,1502027143,334786178,2670254,141814082,233327084,13191476850,7191353807,63599020
3061100000,3336950000,0,0,0,0,5150946817,1239332351,12491267,724132478,913519617,56100905877,25731416004,63599020
3097480000,3376150000,0,0,0,0,8884670860,3317222470,28205426,2354783816,2542917061,149270003402,50579410855,63599020
3021110000,3288890000,0,0,0,0,8676171623,3387182123,37736957,2406074298,2587003881,151003163982,49965293471,63599020
3015860000,3277110000,0,0,0,0,8741540647,3389974567,29172648,2423619831,2609538798,153119710469,50375291557,63599020
1931470000,2225380000,165,0,0,0,8922313081,3465537123,32289950,2468398869,2660155215,156632192608,51391149714,63599020
142220000,241510000,15,0,0,0,8908991088,3425910137,31049481,2438697666,2629781930,155538235773,51113744407,63599020
127410000,220500000,0,0,0,0,8836382545,3401217297,28177893,2424612921,2617138144,154614245392,50769952374,63599020
116540000,198300000,15,0,0,0,8904449126,3424550899,39005502,2425841845,2616596374,154905511488,50996111341,16723892

